iter	Passed	Remaining
433	1549	2020
434	1553	2017
435	1557	2014
436	1561	2011
437	1564	2007
438	1568	2004
439	1572	2001
440	1576	1997
441	1579	1994
442	1583	1991
443	1586	1987
444	1590	1983
445	1593	1979
446	1596	1975
447	1600	1971
448	1604	1968
449	1608	1965
450	1611	1962
451	1615	1958
452	1619	1955
453	1623	1952
454	1626	1948
455	1630	1944
456	1634	1942
457	1638	1938
458	1642	1935
459	1646	1932
460	1649	1928
461	1653	1925
462	1656	1921
463	1660	1918
464	1663	1913
465	1667	1910
466	1671	1907
467	1675	1904
468	1679	1900
469	1682	1897
470	1685	1893
471	1689	1889
472	1692	1886
473	1696	1882
474	1700	1879
475	1703	1875
476	1707	1872
477	1710	1868
478	1714	1864
479	1717	1861
480	1721	1857
481	1724	1853
482	1728	1849
483	1731	1846
484	1735	1842
485	1738	1838
486	1741	1834
487	1746	1832
488	1749	1828
489	1754	1826
490	1757	1822
491	1761	1818
492	1764	1815
493	1768	1811
494	1772	1808
495	1776	1805
496	1779	1801
497	1783	1797
498	1788	1795
499	1791	1791
500	1794	1787
501	1798	1783
502	1801	1780
503	1805	1776
504	1809	1773
505	1812	1769
506	1816	1766
507	1820	1763
508	1824	1759
509	1827	1756
510	1831	1752
511	1834	1748
512	1839	1746
513	1842	1742
514	1845	1738
515	1848	1733
516	1850	1729
517	1853	1724
518	1855	1719
519	1858	1715
520	1860	1710
521	1863	1706
522	1866	1701
523	1868	1697
524	1872	1694
525	1876	1690
526	1879	1686
527	1883	1683
528	1886	1679
529	1889	1675
530	1892	1671
531	1896	1668
532	1899	1664
533	1903	1660
534	1906	1657
535	1909	1653
536	1912	1649
537	1916	1645
538	1919	1641
539	1923	1638
540	1926	1634
541	1930	1631
542	1933	1627
543	1937	1624
544	1940	1620
545	1943	1616
546	1947	1612
547	1951	1609
548	1955	1606
549	1959	1603
550	1962	1599
551	1966	1595
552	1969	1592
553	1973	1588
554	1977	1585
555	1981	1581
556	1984	1578
557	1987	1574
558	1990	1570
559	1994	1567
560	1997	1563
561	2002	1560
562	2005	1556
563	2009	1553
564	2012	1549
565	2016	1546
566	2020	1542
567	2023	1539
568	2027	1535
569	2030	1532
570	2034	1528
571	2037	1524
572	2040	1520
573	2044	1517
574	2048	1513
575	2051	1510
576	2054	1506
577	2058	1502
578	2061	1499
579	2065	1495
580	2069	1492
581	2072	1488
582	2075	1484
583	2078	1480
584	2083	1477
585	2086	1473
586	2089	1470
587	2093	1466
588	2097	1463
589	2100	1459
590	2104	1456
591	2107	1452
592	2111	1448
593	2114	1445
594	2117	1441
595	2121	1438
596	2125	1434
597	2128	1431
598	2132	1427
599	2136	1424
600	2139	1420
601	2143	1417
602	2147	1413
603	2150	1410
604	2154	1406
605	2157	1402
606	2160	1398
607	2164	1395
608	2167	1391
609	2170	1387
610	2174	1384
611	2178	1380
612	2181	1377
613	2184	1373
614	2188	1370
615	2191	1366
616	2195	1363
617	2199	1359
618	2203	1356
619	2206	1352
620	2210	1349
621	2213	1345
622	2217	1341
623	2221	1338
624	2224	1334
625	2228	1331
626	2231	1327
627	2235	1324
628	2238	1320
629	2242	1316
630	2246	1313
631	2250	1310
632	2253	1306
633	2257	1303
634	2260	1299
635	2264	1296
636	2268	1292
637	2272	1289
638	2275	1285
639	2279	1282
640	2282	1278
641	2286	1275
642	2290	1271
643	2293	1267
644	2297	1264
645	2300	1260
646	2304	1257
647	2308	1254
648	2312	1250
649	2315	1246
650	2319	1243
651	2323	1239
652	2327	1236
653	2330	1233
654	2334	1229
655	2338	1226
656	2341	1222
657	2345	1219
658	2350	1216
659	2353	1212
660	2357	1208
661	2361	1205
662	2364	1202
663	2368	1198
664	2372	1194
665	2376	1191
666	2379	1187
667	2384	1185
668	2389	1182
669	2392	1178
670	2395	1174
671	2399	1171
672	2403	1167
673	2407	1164
674	2410	1160
675	2413	1156
676	2417	1153
677	2420	1149
678	2424	1146
679	2428	1142
680	2432	1139
681	2435	1135
682	2439	1132
683	2441	1127
684	2443	1123
685	2446	1119
686	2448	1115
687	2451	1111
688	2454	1107
689	2456	1103
690	2459	1099
691	2462	1095
692	2465	1092
693	2468	1088
694	2471	1084
695	2474	1080
696	2478	1077
697	2482	1073
698	2485	1070
699	2489	1066
700	2493	1063
701	2497	1060
702	2501	1056
703	2505	1053
704	2509	1049
705	2513	1046
706	2517	1043
707	2521	1039
708	2525	1036
709	2528	1032
710	2532	1029
711	2536	1025
712	2539	1022
713	2543	1018
714	2546	1015
715	2550	1011
716	2553	1007
717	2557	1004
718	2560	1000
719	2564	997
720	2567	993
721	2571	990
722	2574	986
723	2578	982
724	2581	979
725	2584	975
726	2588	971
727	2592	968
728	2595	965
729	2599	961
730	2602	957
731	2606	954
732	2609	950
733	2613	947
734	2617	943
735	2621	940
736	2624	936
737	2627	932
738	2630	929
739	2634	925
740	2638	922
741	2641	918
742	2645	915
743	2649	911
744	2652	908
745	2656	904
746	2659	900
747	2663	897
748	2667	893
749	2670	890
750	2673	886
751	2677	882
752	2680	879
753	2683	875
754	2687	872
755	2691	868
756	2695	865
757	2698	861
758	2702	858
759	2705	854
760	2708	850
761	2712	847
762	2715	843
763	2719	840
764	2722	836
765	2726	832
766	2731	829
767	2734	826
768	2738	822
769	2741	818
770	2744	815
771	2748	811
772	2752	808
773	2755	804
774	2759	801
775	2763	797
776	2766	793
777	2770	790
778	2773	786
779	2776	783
780	2780	779
781	2785	776
782	2788	772
783	2792	769
784	2796	766
785	2800	762
786	2804	759
787	2809	755
788	2812	752
789	2816	748
790	2819	745
791	2822	741
792	2825	737
793	2829	734
794	2833	730
795	2836	726
796	2840	723
797	2843	719
798	2847	716
799	2850	712
800	2854	709
801	2858	705
802	2862	702
803	2866	698
804	2869	695
805	2872	691
806	2875	687
807	2880	684
808	2883	680
809	2887	677
810	2890	673
811	2894	670
812	2897	666
813	2901	662
814	2904	659
815	2908	655
816	2911	652
817	2915	648
818	2918	645
819	2922	641
820	2925	637
821	2929	634
822	2932	630
823	2935	627
824	2938	623
825	2942	619
826	2945	616
827	2948	612
828	2952	609
829	2955	605
830	2960	602
831	2963	598
832	2967	594
833	2970	591
834	2974	587
835	2977	584
836	2981	580
837	2985	577
838	2989	573
839	2992	570
840	2996	566
841	2999	562
842	3002	559
843	3006	555
844	3009	552
845	3013	548
846	3017	545
847	3020	541
848	3024	537
849	3028	534
850	3031	530
851	3034	527
852	3038	523
853	3042	520
854	3046	516
855	3049	513
856	3052	509
857	3056	505
858	3060	502
859	3063	498
860	3067	495
861	3071	491
862	3075	488
863	3080	484
864	3083	481
865	3088	477
866	3092	474
867	3096	470
868	3099	467
869	3102	463
870	3106	460
871	3110	456
872	3113	452
873	3117	449
874	3120	445
875	3124	442
876	3128	438
877	3131	435
878	3135	431
879	3139	428
880	3143	424
881	3146	420
882	3149	417
883	3153	413
884	3156	410
885	3160	406
886	3164	403
887	3167	399
888	3170	395
889	3174	392
890	3178	388
891	3181	385
892	3185	381
893	3189	378
894	3192	374
895	3196	370
896	3200	367
897	3203	363
898	3207	360
899	3210	356
900	3214	353
901	3218	349
902	3222	346
903	3225	342
904	3228	338
905	3232	335
906	3235	331
907	3239	328
908	3242	324
909	3246	321
910	3250	317
911	3253	313
912	3256	310
913	3260	306
914	3264	303
915	3268	299
916	3272	296
917	3276	292
918	3280	289
919	3284	285
920	3288	282
921	3292	278
922	3296	274
923	3299	271
924	3303	267
925	3307	264
926	3310	260
927	3314	257
928	3317	253
929	3321	249
930	3325	246
931	3329	242
932	3332	239
933	3336	235
934	3340	232
935	3343	228
936	3347	225
937	3350	221
938	3354	217
939	3357	214
940	3360	210
941	3364	207
942	3367	203
943	3371	199
944	3374	196
945	3377	192
946	3381	189
947	3384	185
948	3388	182
949	3392	178
950	3396	174
951	3399	171
952	3403	167
953	3406	164
954	3410	160
955	3414	157
956	3418	153
957	3421	150
958	3425	146
959	3428	142
960	3432	139
961	3435	135
962	3439	132
963	3442	128
964	3445	124
965	3448	121
966	3452	117
967	3455	114
968	3459	110
969	3462	107
970	3466	103
971	3470	99
972	3473	96
973	3476	92
974	3481	89
975	3484	85
976	3489	82
977	3493	78
978	3496	74
979	3499	71
980	3502	67
981	3506	64
982	3510	60
983	3513	57
984	3517	53
985	3521	49
986	3524	46
987	3528	42
988	3532	39
989	3535	35
990	3539	32
991	3543	28
992	3547	25
993	3551	21
994	3555	17
995	3559	14
996	3563	10
997	3566	7
998	3569	3
999	3573	0
