iter	Logloss
382	0.5084195997
383	0.5083426813
384	0.5082279712
385	0.5081078303
386	0.5079933307
387	0.507869897
388	0.5077120792
389	0.5075973079
390	0.5074817358
391	0.5073654003
392	0.5072045572
393	0.5070938327
394	0.5068982427
395	0.5067646703
396	0.5066451977
397	0.5065418346
398	0.5064018103
399	0.5062476102
400	0.5061093313
401	0.5059699892
402	0.5058605029
403	0.5056901251
404	0.5055047617
405	0.5053825383
406	0.5052377463
407	0.5051460761
408	0.5050144153
409	0.5048678196
410	0.5047084052
411	0.504598337
412	0.5044569019
413	0.5043479629
414	0.5041826276
415	0.5040541542
416	0.5039714903
417	0.5038485531
418	0.5036773005
419	0.5035196569
420	0.5033970152
421	0.5032567729
422	0.5031604279
423	0.5030717378
424	0.5029579741
425	0.5028239867
426	0.5027275264
427	0.5025766025
428	0.5024664743
429	0.5023338557
430	0.5022370554
431	0.5021287623
432	0.5019840378
433	0.5018661869
434	0.5017790184
435	0.5016389526
436	0.5015294908
437	0.5014500253
438	0.5013158418
439	0.5011817656
440	0.5010725696
441	0.5009392882
442	0.5007578716
443	0.5006696005
444	0.5005907458
445	0.500524819
446	0.5003808195
447	0.5002724191
448	0.5001719155
449	0.5000738173
450	0.4999499432
451	0.4998661282
452	0.4997247949
453	0.4996295112
454	0.4995650022
455	0.4994294235
456	0.4993614664
457	0.4992491811
458	0.4990729969
459	0.4989239178
460	0.4987291671
461	0.4985857841
462	0.4984895202
463	0.4983477765
464	0.4982468716
465	0.4981499216
466	0.4979860101
467	0.4978863808
468	0.4977659811
469	0.4976634501
470	0.4975715387
471	0.4974598558
472	0.4973139905
473	0.4972130523
474	0.4970990566
475	0.496985223
476	0.4968897675
477	0.4967883753
478	0.4966598563
479	0.496598529
480	0.4964474957
481	0.496360094
482	0.4962434973
483	0.4961011446
484	0.4959971102
485	0.4958705943
486	0.4957142314
487	0.4956041211
488	0.4955270532
489	0.495435391
490	0.4953283698
491	0.4951922002
492	0.4950894961
493	0.4950160342
494	0.4949118837
495	0.4948027726
496	0.4947205424
497	0.4945353408
498	0.4943574284
499	0.4942602679
500	0.4941654155
501	0.4940188445
502	0.4938596629
503	0.4937554143
504	0.4936268313
505	0.4934526997
506	0.4933301974
507	0.4931915023
508	0.4931027404
509	0.492947775
510	0.4927931993
511	0.4926584883
512	0.492475992
513	0.4924127969
514	0.4923087546
515	0.492156991
516	0.4920611091
517	0.4919395131
518	0.491794571
519	0.4917014479
520	0.4915984289
521	0.4914996218
522	0.4913384836
523	0.4912578508
524	0.4911142238
525	0.4909776122
526	0.4909010644
527	0.490792399
528	0.4907139785
529	0.4906560435
530	0.4904892026
531	0.4903656095
532	0.4902853201
533	0.4901937997
534	0.4900991161
535	0.4900312102
536	0.4899494899
537	0.4898214678
538	0.4897255807
539	0.4896147462
540	0.4895445943
541	0.4894502606
542	0.4893708676
543	0.4892433777
544	0.4891225976
545	0.489015601
546	0.4889081156
547	0.4887914378
548	0.4886721126
549	0.4885780995
550	0.4885212123
551	0.4884067562
552	0.4883227878
553	0.4882509661
554	0.4881516384
555	0.4880222004
556	0.4879195249
557	0.4878197295
558	0.4876546632
559	0.4875343811
560	0.4874903662
561	0.4873459046
562	0.4872322414
563	0.4871315409
564	0.487028881
565	0.4868775727
566	0.4867877923
567	0.4866981677
568	0.4865906839
569	0.4865044798
570	0.4864223897
571	0.4863061607
572	0.4862322677
573	0.4861163397
574	0.486010813
575	0.4859066321
576	0.4857956286
577	0.4856787777
578	0.4856072989
579	0.4855354899
580	0.4854616412
581	0.4853626635
582	0.4852042059
583	0.485104802
584	0.4850135024
585	0.484890953
586	0.4847611923
587	0.4846713866
588	0.4845827151
589	0.4844978475
590	0.4843460213
591	0.4842432755
592	0.4841282525
593	0.4840324042
594	0.4839402861
595	0.4838544019
596	0.4837265364
597	0.4836386154
598	0.4835022935
599	0.4834212631
600	0.4833149202
601	0.4832131133
602	0.4831194384
603	0.4829800945
604	0.4828979694
605	0.48283547
606	0.4827424831
607	0.4826697934
608	0.4825615519
609	0.4824749354
610	0.4823952871
611	0.4823178456
612	0.4822111052
613	0.4821183108
614	0.482041124
615	0.4819400526
616	0.4817834527
617	0.4816843759
618	0.4815775784
619	0.4815279736
620	0.4813941498
621	0.4813286026
622	0.4812036948
623	0.4810767227
624	0.4809822044
625	0.4808912715
626	0.4807668242
627	0.4806741778
628	0.4806316436
629	0.4805392084
630	0.4803636576
631	0.4802230954
632	0.4800817132
633	0.47998604
634	0.4798294436
635	0.4797281549
636	0.4796615638
637	0.4795162211
638	0.4794501503
639	0.4793940127
640	0.4792776559
641	0.4791114071
642	0.4789707698
643	0.4788676869
644	0.4787824555
645	0.478668963
646	0.4785932275
647	0.4784766087
648	0.4784088645
649	0.4783390304
650	0.4782051894
651	0.4780705653
652	0.4779780961
653	0.4778787822
654	0.4778018399
655	0.4776707072
656	0.4775414957
657	0.4774483892
658	0.4773682151
659	0.4772491877
660	0.4771502174
661	0.4770517773
662	0.4770143378
663	0.4769398302
664	0.4768491322
665	0.4767636423
666	0.476663892
667	0.4765652394
668	0.4764901852
669	0.4763895205
670	0.4762143068
671	0.4761272616
672	0.4759834419
673	0.4758892462
674	0.4757932588
675	0.475696578
676	0.4755404469
677	0.4754106272
678	0.4752563617
679	0.4751475514
680	0.4750748754
681	0.4749527037
682	0.4748368808
683	0.4746762297
684	0.474509952
685	0.4744317335
686	0.47431583
687	0.4741592409
688	0.474069909
689	0.4739458527
690	0.473815742
691	0.4737345721
692	0.4736403152
693	0.4735292194
694	0.4735207592
695	0.4735160459
696	0.4734152249
697	0.4733121508
698	0.4731694985
699	0.4731000858
700	0.473027888
701	0.4728978093
702	0.4728099708
703	0.4727099645
704	0.472636715
705	0.4724926909
706	0.4723930696
707	0.4722966635
708	0.4722230513
709	0.4721148629
710	0.4720061534
711	0.4718719573
712	0.4717822995
713	0.4716467191
714	0.471486978
715	0.4713991245
716	0.4712826454
717	0.4711969146
718	0.4710440568
719	0.4709551441
720	0.4708396239
721	0.4707182452
722	0.4706340342
723	0.4705360759
724	0.4704372068
725	0.4702825524
726	0.4701470774
727	0.4700022445
728	0.4698448535
729	0.4697284957
730	0.4696069542
731	0.4695409766
732	0.469484759
733	0.4694182539
734	0.4693634167
735	0.4693053921
736	0.4691543368
737	0.4690709701
738	0.4690105543
739	0.4688973513
740	0.4687526204
741	0.4686312228
742	0.4685067658
743	0.4684308355
744	0.4683022804
745	0.4681945264
746	0.4680533837
747	0.4679317141
748	0.4678655777
749	0.4677887331
750	0.4676482536
751	0.4674989483
752	0.4674046912
753	0.4672815829
754	0.4672108081
755	0.4670817268
756	0.4669164869
757	0.4668047474
758	0.4666725169
759	0.4666009115
760	0.4665106589
761	0.4663986617
762	0.4663277004
763	0.4662298111
764	0.4661145347
765	0.4659680851
766	0.4658703416
767	0.4657422564
768	0.4656446797
769	0.4656298184
770	0.4655443113
771	0.4654216597
772	0.4653487497
773	0.4652226058
774	0.465111451
775	0.4650106243
776	0.4649389679
777	0.4648025458
778	0.4646496785
779	0.4645534233
780	0.4644456992
781	0.4643515503
782	0.4642015835
783	0.464119726
784	0.4640289418
785	0.4639209803
786	0.463805099
787	0.4637201034
788	0.4636277627
789	0.4635491229
790	0.4634059885
791	0.4632744304
792	0.4631328996
793	0.4631191852
794	0.4629782947
795	0.4628750125
796	0.4628152969
797	0.4626979254
798	0.4626047202
799	0.4624945456
800	0.4623836267
801	0.462277646
802	0.4621729342
803	0.4621051275
804	0.4620922374
805	0.4619817087
806	0.4618965108
807	0.4618002704
808	0.4616868433
809	0.4615901809
810	0.4614700821
811	0.461408832
812	0.4613215328
813	0.4612291889
814	0.4611316003
815	0.4609958125
816	0.4609176194
817	0.4608091959
818	0.4606956936
819	0.4606182015
820	0.4605399718
821	0.4604272543
822	0.4603375763
823	0.4602071429
824	0.4601114352
825	0.4600366981
826	0.4599664879
827	0.4598622764
828	0.4597600945
829	0.4596517851
830	0.4595805863
831	0.4594686289
832	0.4593499547
833	0.4592933254
834	0.4591638097
835	0.4590370486
836	0.4589121744
837	0.4587708128
838	0.4586534778
839	0.4585563051
840	0.4584415329
841	0.4583459818
842	0.4582281072
843	0.4581234615
844	0.4580069384
845	0.4579513441
846	0.4578442804
847	0.4577837982
848	0.4576486347
849	0.4575471699
850	0.4575314283
851	0.457516273
852	0.4574446364
853	0.4573353475
854	0.4572362374
855	0.4571504587
856	0.4570696144
857	0.4569681668
858	0.4568582074
859	0.4567414009
860	0.4566635092
861	0.4565552331
862	0.4564628107
863	0.4563860083
864	0.4562731278
865	0.456149243
866	0.4560616719
867	0.4559796117
868	0.4558803744
869	0.4558061951
870	0.4557048398
871	0.4556280236
872	0.4555758543
873	0.4554875185
874	0.4553936978
875	0.4553357349
876	0.4552400625
877	0.4551701276
878	0.4550755501
879	0.4549798821
880	0.4548961899
881	0.4547738916
882	0.4546752081
883	0.4544875464
884	0.4543718334
885	0.454248433
886	0.454150725
887	0.4541436568
888	0.4540558275
889	0.4539452974
890	0.4538599422
891	0.4537811425
892	0.4536672221
893	0.4535313827
894	0.4533858663
895	0.4532947474
896	0.4531656605
897	0.4530890251
898	0.4530100852
899	0.4529064994
900	0.4528325781
901	0.4527555973
902	0.4526422723
903	0.4525648513
904	0.4525519845
905	0.4524703916
906	0.4522993539
907	0.4521568549
908	0.4520593009
909	0.4519817815
910	0.4518953547
911	0.4517878202
912	0.4517399373
913	0.4516873456
914	0.4516166099
915	0.4515303299
916	0.4514384922
917	0.4513523037
918	0.4512304165
919	0.4511498577
920	0.4510691939
921	0.4509726375
922	0.4508788043
923	0.4507486777
924	0.4506473077
925	0.4505426874
926	0.4504544226
927	0.450395262
928	0.4502815482
929	0.4502137806
930	0.4501067757
931	0.4499973301
932	0.4499019412
933	0.4497922794
934	0.4496668011
935	0.4496026437
936	0.4495230511
937	0.4494268984
938	0.4493263099
939	0.4492308731
940	0.4491435312
941	0.4490426277
942	0.4489178087
943	0.4487706352
944	0.448661703
945	0.4486039587
946	0.4485183999
947	0.4484130553
948	0.4482977357
949	0.4482115009
950	0.4481669561
951	0.4480774532
952	0.4479851429
953	0.4479303496
954	0.4478243632
955	0.4477573648
956	0.4476410184
957	0.4475699106
958	0.4474800041
959	0.4474051559
960	0.4472911485
961	0.4471611518
962	0.4470993528
963	0.447029148
964	0.4468999743
965	0.4467928018
966	0.4467423276
967	0.4466423893
968	0.4465170633
969	0.4463955566
970	0.4463265088
971	0.4462415855
972	0.4461482121
973	0.4461148454
974	0.4459999699
975	0.4459418421
976	0.4458947725
977	0.4457681868
978	0.4457134388
979	0.4456279075
980	0.445528384
981	0.4453913868
982	0.4453376264
983	0.4452870546
984	0.4451989421
985	0.445156471
986	0.4450803121
987	0.4449745097
988	0.4449007521
989	0.4448167058
990	0.4447574844
991	0.4446883194
992	0.4446345496
993	0.4445355495
994	0.4444231859
995	0.4443184897
996	0.4442361477
997	0.4441872558
998	0.4441222464
999	0.4440528575
